"Parameter Name","From HEX","To HEX"
"GEQ4–6 GAIN11","3894","3899"
"GEQ4–6 GAIN12","389A","389F"
"GEQ4–6 GAIN13","38A0","38A5"
"GEQ4–6 GAIN14","38A6","38AB"
"GEQ4–6 GAIN15","38AC","38B1"
"GEQ4–6 GAIN16","38B2","38B7"
"GEQ4–6 GAIN17","38B8","38BD"
"GEQ4–6 GAIN18","38BE","38C3"
"GEQ4–6 GAIN19","38C4","38C9"
"GEQ4–6 GAIN20","38CA","38CF"
"GEQ4–6 GAIN21","38D0","38D5"
"GEQ4–6 GAIN22","38D6","38DB"
"GEQ4–6 GAIN23","38DC","38E1"
"GEQ4–6 GAIN24","38E2","38E7"
"GEQ4–6 GAIN25","38E8","38ED"
"GEQ4–6 GAIN26","38EE","38F3"
"GEQ4–6 GAIN27","38F4","38F9"
"GEQ4–6 GAIN28","38FA","38FF"
"GEQ4–6 GAIN29","3900","3905"
"GEQ4–6 GAIN30","3906","390B"
"GEQ4–6 GAIN31","390C","3911"
"LCR IN/MIX ON","3912","3961"
"CSR","396A","39B9"
"DIRECT OUT ON","39C2","39F9"
"INPUT TO STEREO ON","3A02","3A39"
"DCA ON","3A42","3A49"
"DCA FADER","3A4E","3A55"
"MUTE MASTER ON","3A5A","3A61"
"RECALL SAFE ON","3A66","3AEA"
"HA GAIN1","3B06","3B15"
"HA GAIN2","3B16","3B25"
"HA GAIN3","3B26","3B35"
"HA GAIN4","3B36","3B45"
"HA GAIN5","3B46","3B55"
"HA GAIN6","3B56","3B65"
"HA GAIN7","3B66","3B75"
"HA GAIN8","3B76","3B85"
"HA +48V 1","3B86","3B95"
"HA +48V 2","3B96","3BA5"
"HA +48V 3","3BA6","3BB5"
"HA +48V 4","3BB6","3BC5"
"HA +48V 5","3BC6","3BD5"
"HA +48V 6","3BD6","3BE5"
"HA +48V 7","3BE6","3BF5"
"HA +48V 8","3BF6","3C05"
"HA HPF1","3C06","3C15"
"HA HPF2","3C16","3C25"
"HA HPF3","3C26","3C35"
"HA HPF4","3C36","3C45"
"HA HPF5","3C46","3C55"
"HA HPF6","3C56","3C65"
"HA HPF7","3C66","3C75"
"HA HPF8","3C76","3C85"
"INPUT TO MONO ON","3C86","3CBD"
"MIX TO MONO ON","3CC6","3CD5"
"SLOT OUT DELAY ON","3CD6","3D05"
"SLOT OUT DELAY TIME HIGH","3D06","3D35"
"SLOT OUT DELAY TIME LOW","3D36","3D65"
"OMNI OUT DELAY ON","3D66","3D75"
"OMNI OUT DELAY TIME HIGH","3D76","3D85"
"OMNI OUT DELAY TIME LOW","3D86","3D95"
"DIGITAL OUT DELAY ON","3D96","3D97"
"DIGITAL OUT DELAY TIME HIGH","3D98","3D99"
"DIGITAL OUT DELAY TIME LOW","3D9A","3D9B"
"INPUT DYNAMICS1 RATIO","3D9C","3DD3"
"INPUT DYNAMICS1 KNEE/WIDTH","3DD4","3E0B"
"INPUT DYNAMICS1 GAIN","3E0C","3E43"
"INPUT DYNAMICS2 HIGH ONLY/FULL","3E44","3E7B"
"INPUT DYNAMICS2 FILTER FREQ","3E7C","3EB3"
"RACK7–8 GEQ ON","3EB4","3EB7"
"RACK7–8 GEQ GAIN1","3EB8","3EBB"
"RACK7–8 GEQ GAIN2","3EBC","3EBF"
"RACK7–8 GEQ GAIN3","3EC0","3EC3"
"RACK7–8 GEQ GAIN4","3EC4","3EC7"
"RACK7–8 GEQ GAIN5","3EC8","3ECB"
"RACK7–8 GEQ GAIN6","3ECC","3ECF"
"RACK7–8 GEQ GAIN7","3ED0","3ED3"
"RACK7–8 GEQ GAIN8","3ED4","3ED7"
"RACK7–8 GEQ GAIN9","3ED8","3EDB"
"RACK7–8 GEQ GAIN10","3EDC","3EDF"
"RACK7–8 GEQ GAIN11","3EE0","3EE3"
"RACK7–8 GEQ GAIN12","3EE4","3EE7"
"RACK7–8 GEQ GAIN13","3EE8","3EEB"
"RACK7–8 GEQ GAIN14","3EEC","3EEF"
"RACK7–8 GEQ GAIN15","3EF0","3EF3"
"RACK7–8 GEQ GAIN16","3EF4","3EF7"
"RACK7–8 GEQ GAIN17","3EF8","3EFB"
"RACK7–8 GEQ GAIN18","3EFC","3EFF"
"RACK7–8 GEQ GAIN19","3F00","3F03"
"RACK7–8 GEQ GAIN20","3F04","3F07"
"RACK7–8 GEQ GAIN21","3F08","3F0B"
"RACK7–8 GEQ GAIN22","3F0C","3F0F"
"RACK7–8 GEQ GAIN23","3F10","3F13"
"RACK7–8 GEQ GAIN24","3F14","3F17"
"RACK7–8 GEQ GAIN25","3F18","3F1B"
"RACK7–8 GEQ GAIN26","3F1C","3F1F"
"RACK7–8 GEQ GAIN27","3F20","3F23"
"RACK7–8 GEQ GAIN28","3F24","3F27"
"RACK7–8 GEQ GAIN29","3F28","3F2B"
"RACK7–8 GEQ GAIN30","3F2C","3F2F"
"RACK7–8 GEQ GAIN31","3F30","3F33"
"EQ ATT","3F34","3F4E"
